id;cod_reserva;data_reserva;horario_inicio;horario_final;data_solicitacao;horario_da_solicitacao;status_reserva_sala;cod_usuario;disciplina_ministrada
1;81309;2021-06-22;2021-06-22T11:16:06;2021-06-22T19:08:08;2021-06-22T16:46:55;2021-06-22T00:23:13;Confirmada;1421;Loan
2;77401;2021-06-22;2021-06-22T03:40:16;2021-06-22T11:37:41;2021-06-22T18:24:57;2021-06-22T04:06:57;Cancelada;86264;Aço
3;15256;2021-06-22;2021-06-22T17:10:28;2021-06-22T15:36:15;2021-06-22T21:51:43;2021-06-22T19:52:02;EmAnalise;92195;Bedfordshire
4;60155;2021-06-22;2021-06-22T11:17:23;2021-06-22T16:43:13;2021-06-22T21:17:28;2021-06-22T17:31:55;EmAnalise;82253;Sabonete
5;46795;2021-06-22;2021-06-22T16:43:44;2021-06-22T09:17:22;2021-06-22T12:54:37;2021-06-22T17:42:46;Confirmada;8491;content Account Maranhão
6;20860;2021-06-22;2021-06-22T21:40:02;2021-06-22T08:55:20;2021-06-22T14:32:26;2021-06-22T04:39:23;Confirmada;12884;Card hub e-business
7;31142;2021-06-21;2021-06-22T04:28:36;2021-06-22T02:46:27;2021-06-22T09:25:07;2021-06-22T11:40:01;EmAnalise;47494;Gerais
8;42522;2021-06-22;2021-06-22T00:34:17;2021-06-22T22:58:10;2021-06-22T14:52:49;2021-06-22T18:13:23;Confirmada;38901;core
9;7549;2021-06-22;2021-06-21T23:34:22;2021-06-22T09:58:18;2021-06-22T14:01:25;2021-06-22T22:27:06;EmAnalise;60064;Coordinator
10;15408;2021-06-22;2021-06-22T00:12:41;2021-06-22T07:21:04;2021-06-22T05:19:36;2021-06-22T08:49:49;EmAnalise;70868;deposit mission-critical
