id;cod_sala;nome;local;status
1;99039;plug-and-play;Ferramentas;Ocupada
2;96061;transmitter Dollar Avon;wireless Plástico;Livre
3;78542;Dollar;Beleza Dollar transmitter;FechadaParaManutencao
4;37227;Madeira;Maldives;FechadaParaManutencao
5;2414;Bicicleta bi-directional;Markets Borders;Livre
6;68517;holistic Home;Algodão Aço;Ocupada
7;61719;Jogos;systematic;Ocupada
8;76574;turquesa;tertiary Future Feito;Ocupada
9;29851;RAM Compatible petróleo;Prático;FechadaParaManutencao
10;1452;salmão;e-markets;Ocupada
